Post.Office,State,County,Established,Discontinued,Latitude,Longitude
HUNTSVILLE,TX,Walker,1837,,30.7247242,-95.5538793
MONTGOMERY,TX,Montgomery,1837,,30.3882927,-95.6932073
SHELBYVILLE,TX,Shelby,1837,,31.7591,-94.078899
CANEY,TX,Matagorda,1837,1914,28.9635885,-95.8546775
SALEM,TX,Newton,1837,1897,30.5424254,-93.7679522
CINCINNATI,TX,Walker,1837,1893,30.9032779,-95.5456425
CEDAR CREEK,TX,Washington,1837,1848,,
MONTVILLE,TX,Washington,1837,1851,,
PATTILLO'S,TX,Orange,1837,1853,,
ANAHUAC,TX,Chambers,1838,,29.7692876,-94.68303
COLUMBUS,TX,Colorado,1838,,29.705774,-96.5508459
CROCKETT,TX,Houston,1838,,31.3178694,-95.4559026
FRANKLIN,TX,Robertson,1838,,31.0274299,-96.4854739
PARK HILL,OK,Cherokee,1838,1847,35.8659478,-94.9582868
RICHMOND,TX,Fort Bend,1838,,29.560248,-95.7595983
BELGRADE,TX,Newton,1838,1937,30.6857573,-93.6635081
HAMILTON,TX,Shelby,1838,1874,31.5960101,-93.8418535
INDEPENDENCE,TX,Washington,1838,1958,30.319377,-96.3466306
MOUNT PLEASANT,TX,Bastrop,1838,1846,30.3513201,-97.2672148
HODGE'S BEND,TX,Fort Bend,1838,1858,29.6772891,-95.6767556
SWARTWOUT,TX,Polk,1838,1875,30.6385306,-95.0049352
SPRING HILL,TX,Harrison,1838,,32.5198712,-94.5407586
BIG CREEK,TX,Fort Bend,1838,1867,,
NAVASOTA,TX,Robertson,1838,1846,,
AUSTIN,TX,Travis,1839,,30.3340497,-97.6667023
CLARKSVILLE,TX,Red River,1839,,33.6133859,-95.0507589
DAINGERFIELD,TX,Morris,1839,,33.032812,-94.7237708
DE KALB,TX,Bowie,1839,,33.5100496,-94.6187903
DOUGLASS,TX,Nacogdoches,1839,,31.6678907,-94.8860785
MARSHALL,TX,Harrison,1839,,32.5409297,-94.3659981
SEGUIN,TX,Guadalupe,1839,,29.5680281,-97.9704513
LAGRANGE,TX,Fayette,1839,,29.9055033,-96.876647
LAMAR,TX,Aransas,1839,1918,28.1394565,-97.0055455
PINE ISLAND,TX,Jefferson,1839,1912,30.0563252,-94.2774081
PLUM GROVE,TX,Fayette,1839,1863,29.9349464,-96.9674826
RUTERSVILLE,TX,Fayette,1839,1972,29.9477242,-96.7972005
SABINE CITY,TX,Jefferson,1839,1860,29.7335518,-93.8943327
SHELBY,TX,Austin,1839,1912,30.0216106,-96.5983064
SPRING CREEK,TX,Harris,1839,1852,30.0707743,-95.7035576
WEST LIBERTY,TX,Liberty,1839,1867,30.0466051,-94.8852026
FORT HOUSTON,TX,Anderson,1839,1847,31.7273939,-95.652178
TRAVIS,TX,Austin,1839,1878,30.0124447,-96.3352435
ARANSAS,TX,Aransas,1839,1862,28.0847204,-96.9914387
PORT CADDO,TX,Harrison,1839,1866,32.5557047,-94.3235277
ALLCORN'S,TX,Washington,1839,1840,,
MITCHELL'S,TX,Madison,1839,1856,,
MYRTLE TURF,TX,Harris,1839,1843,,
PEACH CREEK,TX,Wharton,1839,1847,,
PRESTON,TX,Wharton,1839,1857,,
RUSK,TX,Grimes,1839,1846,,
WARREN,TX,Fannin,1839,1876,,
CUERO,TX,Dewitt,1840,,29.0888946,-97.2884981
ELYSIAN FIELDS,TX,Harrison,1840,,32.3683872,-94.1836403
SAN PEDRO,TX,Houston,1840,1857,31.4751791,-95.3780015
PATROON,TX,Shelby,1840,1974,31.6229546,-93.9810245
LYONS,TX,Fayette,1840,1874,29.6416239,-96.8874805
ALABAMA,TX,Houston,1840,1878,,
CHEROKEE AGENCY,OK,Cherokee,1840,1849,,
PINE CREEK,TX,Red River,1840,1849,,
SAN LUIS,TX,Brazoria,1840,1855,,
SMITHFIELD,TX,Polk,1840,1871,,
ZUMWALT'S,TX,Lavaca,1840,,,
CALDWELL,TX,Burleson,1841,,30.5334114,-96.6946719
FORT LEAVENWORTH,KS,Leavenworth,1841,,39.3550682,-94.9182011
PORT LAVACA,TX,Calhoun,1841,,28.6170224,-96.642136
MELROSE,TX,Nacogdoches,1841,1921,31.5615706,-94.4765951
PLUM CREEK,TX,Caldwell,1841,1848,29.8849441,-97.6699996
SAVANNAH,TX,Red River,1841,1874,33.5362223,-94.8452148
MCGEE'S,TX,San Jacinto,1841,1853,,
MILLER'S,TX,Lamar,1841,1849,,
MOORES',TX,Bowie,1841,1866,,
PULASKI,TX,Panola,1841,1867,,
FORT GIBSON,OK,Muskogee,1842,,35.7964894,-95.2514736
INDUSTRY,TX,Austin,1842,,29.9736753,-96.5020069
PARIS,TX,Lamar,1842,,33.6600359,-95.5511097
BOONVILLE,TX,Brazos,1842,1866,30.6707532,-96.3246843
BURLEIGH,TX,Austin,1842,1913,29.9196707,-96.1502386
CROFT'S MILLS,TX,Harris,1842,1848,,
CUMMINS' CREEK,TX,Colorado,1842,1847,,
PINE ISLAND,TX,Austin,1842,,,
WEBBER'S PRAIRIE,TX,Travis,1842,1853,,
FORT SCOTT,KS,Bourbon,1843,,37.8402108,-94.70768
HENDERSON,TX,Rusk,1843,,32.1487675,-94.798928
HONEY GROVE,TX,Fannin,1843,,33.5826343,-95.90958
JEFFERSON,TX,Marion,1843,,32.7562846,-94.3463981
WHEELOCK,TX,Robertson,1843,,30.8989318,-96.3919376
BLOSSOM PRAIRIE,TX,Lamar,1843,1888,33.6614962,-95.3857864
BOIS D'ARC,TX,Fannin,1843,1844,33.5773276,-96.1783111
BOSTON,TX,Bowie,1843,,33.4415086,-94.4196452
CREEK AGENCY,OK,Muskogee,1843,1872,35.7844444,-95.4733333
TOWN BLUFF,TX,Tyler,1843,1931,30.7902024,-94.1807468
ARNOLD'S,TX,Waller,1843,1848,,
FLOURNOY'S,TX,Nacogdoches,1843,1852,,
FORT BOGGY,TX,Leon,1843,1847,,
HUGHES',TX,Cass,1843,1849,,
LONE OAK,TX,Montgomery,1843,1847,,
MOUNT MOURN,TX,Panola,1843,1849,,
PARRY'S,TX,Panola,1843,1851,,
WEAVER'S,TX,Bowie,1843,1848,,
BONHAM,TX,Fannin,1844,,33.576174,-96.17775
BRENHAM,TX,Washington,1844,,30.169559,-96.397362
CORPUS CHRISTI,TX,Nueces,1844,,27.7987471,-97.4272386
DALLAS,TX,Dallas,1844,,32.7694437,-96.8291859
FORT WASHITA,OK,Bryan,1844,1880,34.102874,-96.5463855
CHAMBERS' CREEK,TX,Ellis,1844,1891,32.2562579,-96.8652745
ALTA SPRINGS,TX,Falls,1844,1868,31.2860113,-96.6705351
MELTON'S,TX,Navarro,1844,1852,32.0307099,-96.6805459
CRISWELL'S,TX,Polk,1844,1846,,
DAMON'S MILLS,TX,Fort Bend,1844,1847,,
EUROPE,TX,Robertson,1844,1847,,
INGRAM'S PRAIRIE,TX,Fayette,1844,1847,,
PORT CAVALLO,TX,Matagorda,1844,1853,,
SPENCER ACADEMY,OK,Choctaw,1844,1847,,
LIVERPOOL,TX,Brazoria,1845,,29.2939669,-95.2786033
NEW BRAUNFELS,TX,Comal,1845,,29.6967589,-98.1165389
CRABB'S PRAIRIE,TX,Walker,1845,1846,30.7540816,-95.6491123
GRAND CANE,TX,Liberty,1845,1870,30.3210425,-94.7504803
MAYHEW,OK,Choctaw,1845,1902,34.0273209,-95.8691422
RATCLIFF'S,TX,Tyler,1845,1852,30.8435341,-94.2626941
SEMPRONIUS,TX,Austin,1845,1905,30.0702201,-96.2805193
WHEELOCK,OK,McCurtain,1845,1895,33.9896866,-94.9905271
POINT ISABEL,TX,Cameron,1845,1930,26.0768732,-97.2090304
SHANNON'S,TX,Montgomery,1845,1857,30.3690952,-95.7957827
SWEARINGEN'S,TX,Austin,1845,1856,29.8497492,-96.2687927
BROWN'S,TX,Brazoria,1845,1847,29.1433998,-95.8063158
BEDI,TX,Grimes,1845,1866,,
COLLARD'S,TX,Madison,1845,1847,,
COW CREEK,TX,Newton,1845,,,
CUNNINGHAM'S,TX,Bastrop,1845,1870,,
HALLETT'S,TX,Lavaca,1845,1848,,
HINDS',TX,Brazoria,1845,1854,,
MCGUFFIN'S,TX,Grimes,1845,1846,,
NECHES SALINE,TX,Smith,1845,1851,,
ROAN'S,TX,Grimes,1845,1847,,
SAND HILLS,TX,Rusk,1845,1854,,
LEONA,TX,Leon,1846,,31.1553996,-95.9684681
MILAM,TX,Sabine,1846,,31.4329397,-93.847619
ROUND TOP,TX,Fayette,1846,,30.0635801,-96.6930163
SAN MARCOS,TX,Hays,1846,,29.8620869,-97.9638613
BUCKNER,TX,Collin,1846,1848,33.2176162,-96.6636044
CHAMBERSIA,TX,Chambers,1846,1860,29.7730001,-94.6826961
FLINT,OK,Adair,1846,1896,,
HAMBLIN,TX,Harris,1846,1851,,
MULBERRY GROVE,TX,Rusk,1846,1849,,
PALMER'S,TX,San Jacinto,1846,1910,,
WEVER'S,TX,Bowie,1846,1848,,
WILSON'S,TX,Tyler,1846,1852,,
ASTORIA,OR,Clatsop,1847,,46.189369,-123.8352045
BURKEVILLE,TX,Newton,1847,,30.9991858,-93.6693736
CAMERON,TX,Milam,1847,,30.8519367,-96.9770967
CASTROVILLE,TX,Medina,1847,,29.3516587,-98.8866332
GILMER,TX,Upshur,1847,,32.731985,-94.9392172
GREENVILLE,TX,Hunt,1847,,33.1246814,-96.1171801
LIVINGSTON,TX,Polk,1847,,30.7104457,-94.9481742
MOUNT PLEASANT,TX,Titus,1847,,33.1555041,-94.9697958
NEWTON,TX,Newton,1847,1847,30.8466075,-93.7591257
OREGON CITY,OR,Clackamas,1847,,45.3274095,-122.5819706
PALESTINE,TX,Anderson,1847,,31.7732183,-95.6309438
RED OAK,TX,Ellis,1847,,32.5323925,-96.8178841
RUSK,TX,Cherokee,1847,,31.7947675,-95.151055
SHERMAN,TX,Grayson,1847,,33.6608331,-96.6074127
TAHLEQUAH,OK,Cherokee,1847,,35.9018605,-94.9739078
TYLER,TX,Smith,1847,,32.3684711,-95.3246236
WHARTON,TX,Wharton,1847,,29.3107897,-96.0991521
WOODVILLE,TX,Tyler,1847,,30.7740481,-94.4179391
NEWTON COURT HOUSE,TX,Newton,1847,1847,30.8466075,-93.7591257
BORDER,TX,Harrison,1847,1849,32.4979304,-94.111021
BUFFALO,TX,Henderson,1847,1868,32.2723687,-96.2799781
CHAPEL HILL,TX,Washington,1847,,30.1427171,-96.2569071
COONSKIN,TX,San Jacinto,1847,1847,30.592421,-95.1293818
ERIN,TX,Jasper,1847,1923,30.7796473,-93.9968529
FRELSBURG,TX,Colorado,1847,1908,29.8710611,-96.5466383
GRAND BLUFF,TX,Panola,1847,1887,32.2718251,-94.3432523
INDIAN POINT,TX,Calhoun,1847,1849,28.5119449,-96.487475
LARISSA,TX,Cherokee,1847,1905,32.0559958,-95.324951
SPRINGFIELD,TX,Limestone,1847,1878,31.6596122,-96.4827583
WALLING'S FERRY,TX,Rusk,1847,1872,32.3873755,-94.5829828
WHITE OAK,TX,Hopkins,1847,1888,33.1467821,-95.457173
FIREMAN'S HILL,TX,San Jacinto,1847,1850,30.592421,-95.1293818
MARION,TX,Angelina,1847,1876,31.3996296,-94.5202059
SAN JACINTO,TX,Harris,1847,1866,29.7377288,-95.3766053
DOAKSVILLE,OK,Choctaw,1847,1903,34.113436,-95.5557978
NECHE,TX,Houston,1847,1848,31.5440676,-95.2277198
PINE HILLS,TX,Rusk,1847,1856,32.1046071,-94.605207
ASHTON'S,TX,Shelby,1847,1854,31.8837806,-93.9804682
GAGE'S,TX,Rusk,1847,1847,31.9984996,-94.7810467
ADAM'S BAYOU,TX,Orange,1847,1848,,
ANGLIN'S,TX,Anderson,1847,1849,,
ATTOYAQUE,TX,San Augustine,1847,1848,,
AYISH BAYOU,TX,San Augustine,1847,1848,,
BAIZETT,TX,Navarro,1847,1851,,
BEAR CREEK,TX,Sabine,1847,1866,,
BRUSHY,TX,Williamson,1847,1848,,
CEDAR BAYOU,TX,Chambers,1847,1866,,
CENTRAL ACADEMY,TX,Harrison,1847,1849,,
DANVILLE,TX,Montgomery,1847,1872,,
GLADE SPRING,TX,Harrison,1847,1866,,
GREEN'S,TX,Polk,1847,1853,,
HACKBERRY BLUFF,TX,Collin,1847,1848,,
JACKSONVILLE,TX,Washington,1847,1847,,
JOHN'S,TX,Chambers,1847,1859,,
KENDRICK'S,TX,San Augustin,1847,1847,,
LOCKRANZY,TX,Cherokee,1847,1851,,
LONGWOOD,TX,Sabine,1847,1852,,
LOOK OUT,TX,Upshur,1847,1848,,
MONTEREY,TX,Harrison,1847,1848,,
NORVELL'S,TX,Sabine,1847,1847,,
PARKER'S POINT,TX,Brazoria,1847,1848,,
PENDLETON,TX,Sabine,1847,1907,,
PINCKNEYVILLE,TX,Denton,1847,1848,,
PUGH'S,TX,Harrison,1847,1847,,
REEL FOOT,TX,Harrison,1847,1851,,
ROCKY MILLS,TX,Lavaca,1847,1855,,
SAINT JOSEPH'S,TX,Aransas,1847,1849,,
STEWARTSVILLE,TX,Denton,1847,1847,,
TARRANT,TX,Hopkins,1847,1871,,
TEWOCKONY SPRINGS,TX,Limestone,1847,1862,,
UNION SPRINGS,TX,Harrison,1847,1857,,
WALLING'S MILLS,TX,Rusk,1847,1848,,
WARSAW PRAIRIE,TX,Kaufman,1847,1858,,
FREDERICKSBURG,TX,Gillespie,1848,,30.2861601,-98.8865811
GEORGETOWN,TX,Williamson,1848,,30.622687,-97.687991
LAKE CREEK,TX,Delta,1848,,33.4466181,-95.5879307
LOCKHART,TX,Caldwell,1848,,29.8836665,-97.6741435
MCKINNEY,TX,Collin,1848,,33.202118,-96.637342
WHITE ROCK,TX,Dallas,1848,1851,32.83145,-96.7003329
FARMER'S BRANCH,TX,Dallas,1848,1954,32.9346625,-96.8883794
BLACK HILL,TX,Rockwall,1848,1856,32.8365147,-96.474987
DUCK CREEK,TX,Dallas,1848,1887,32.912624,-96.6388833
GREEN'S BLUFF,TX,Orange,1848,1852,30.0929879,-93.7365549
GUM CREEK,TX,Cherokee,1848,1850,31.9235012,-95.3085604
KEITH'S,TX,Franklin,1848,1850,33.1887271,-95.2213321
PINE HILL,TX,Cherokee,1848,1848,31.9921112,-95.0132743
PINE TREE,TX,Gregg,1848,1871,32.4982033,-94.7932686
PLEASANT RUN,TX,Dallas,1848,1860,32.6006908,-96.8791683
PLUM CREEK,TX,Caldwell,1848,1874,29.8849441,-97.6699996
SALURIA,TX,Calhoun,1848,1876,28.391948,-96.4169191
HICKORY HILL,TX,Cass,1848,1877,32.8929114,-94.5435336
DENTON CREEK,TX,Denton,1848,1879,33.0417894,-97.1933474
BUENA VISTA,TX,Shelby,1848,1886,31.8940595,-94.3377008
GULF PRAIRIE,TX,Brazoria,1848,1866,28.9760817,-95.4729992
MILLVILLE,TX,Rusk,1848,1897,32.2573787,-94.7288221
ALTON,TX,Denton,1848,1859,33.2992835,-97.2047376
CENTREVILLE,TX,Gonzales,1848,1849,29.5232893,-97.6838872
BRYANT'S STATION,TX,Milam,1848,1875,30.852133,-97.1894387
GRAY ROCK,TX,Franklin,1848,1906,33.1590068,-95.1268847
ALFRED,TX,Henderson,1848,1850,,
ALLEN'S GROVE,TX,Grayson,1848,1849,,
BEAVER,TX,Anderson,1848,1868,,
BLACK JACK,TX,Fayette,1848,1851,,
BLACK JACK  GROVE,TX,Hopkins,1848,1896,,
CEDAR LAKE,TX,Brazoria,1848,1854,,
COURTLAND,TX,Shelby,1848,1851,,
CRAWFORD SEMINARY,KS,Cherokee,1848,1863,,
EDEN,TX,Harris,1848,1851,,
FALLS OF BRAZOS,TX,Falls,1848,1849,,
FORKS OF TRINITY,TX,Rockwall,1848,1848,,
GRAND BLUFF,TX,Orange,1848,1848,,
IONI,TX,Anderson,1848,1900,,
JONES',TX,Panola,1848,1852,,
LICKE,TX,Fannin,1848,1861,,
MCMILLAN'S,TX,Panola,1848,1866,,
MUSKETE,TX,Navarro,1848,1867,,
OAK GROVE,TX,Morris,1848,1853,,
OAKLAND,TX,Lavaca,1848,1860,,
ODD'S CREEK,TX,Lamar,1848,1848,,
PERRYMAN'S,TX,Waller,1848,1849,,
PETERSBURGH,TX,Lavaca,1848,1876,,
PINE BLUFFS,TX,Red River,1848,,,
PINETOWN,TX,Cherokee,1848,1874,,
POST OAK GROVE,TX,Hopkins,1848,1848,,
PRICE'S HILL,TX,San Augustine,1848,1848,,
REED'S SETTLEMENT,TX,Panola,1848,1868,,
RICHLAND CROSSING,TX,Navarro,1848,1871,,
SHULTS' STORE,TX,Fayette,1848,1848,,
SUMMER GROVE,TX,Smith,1848,1857,,
SUMPTER,TX,Angelina,1848,1852,,
TRINITY,TX,Rockwall,1848,1848,,
WASHITA,TX,Grayson,1848,1852,,
WHITE COTTAGE,TX,Shelby,1848,1866,,
ANDERSON,TX,Grimes,1849,,30.48885,-95.9881444
BELLVILLE,TX,Austin,1849,,29.950461,-96.2551045
BENICIA,CA,Solano,1849,,38.0517321,-122.1522353
BROWNSVILLE,TX,Cameron,1849,,25.931993,-97.4990237
CARTHAGE,TX,Panola,1849,,32.1549091,-94.3393944
CORSICANA,TX,Navarro,1849,,32.092251,-96.4648073
CULLOMA,CA,El Dorado,1849,1851,38.8001658,-120.8903983
EAGLE LAKE,TX,Colorado,1849,,29.5888869,-96.3337635
HALLETTSVILLE,TX,Lavaca,1849,,29.4433161,-96.9423068
JONESVILLE,TX,Harrison,1849,,32.4987087,-94.1116646
KAUFMAN,TX,Kaufman,1849,,32.5709248,-96.3123324
LAREDO,TX,Webb,1849,,27.5067684,-99.5089719
MILLICAN,TX,Brazos,1849,,30.4684486,-96.2045068
MONTEREY,CA,Monterey,1849,,36.5959246,-121.8950464
MOUNT ENTERPRISE,TX,Rusk,1849,,31.9177933,-94.6790626
PORTLAND,OR,Multnomah,1849,,45.5280925,-122.6784016
RIO GRANDE CITY,TX,Starr,1849,1895,26.3903345,-98.8161544
SALEM,OR,Marion,1849,,44.9247647,-123.0097089
SALT LAKE CITY,UT,Salt Lake,1849,,40.7274403,-111.9404813
SAN DIEGO,CA,San Diego,1849,,32.9836032,-117.0805391
SAN FRANCISCO,CA,San Francisco,1849,,37.7399701,-122.3813798
SAN JOSE,CA,Santa Clara,1849,,37.3377887,-121.8923645
SANTA FE,NM,Santa Fe,1849,,35.6912636,-105.9387912
SONOMA,CA,Sonoma,1849,,38.2898193,-122.4586889
STOCKTON,CA,San Joaquin,1849,,37.9917733,-121.2874213
SULPHUR BLUFF,TX,Hopkins,1849,,33.3325022,-95.3947987
ANADARCO,TX,Rusk,1849,1878,31.9282247,-94.8763265
BELLEVIEW,TX,Rusk,1849,1881,32.304876,-94.8554926
BELMONT,TX,Gonzales,1849,,29.5232893,-97.6838872
BETHANY,TX,Panola,1849,1860,32.3732122,-94.0432419
BILOXI,TX,Newton,1849,1860,30.6857573,-93.6635081
BLUE HILL,TX,Williamson,1849,1857,30.4796473,-97.4583333
FOUR MILE PRAIRIE,TX,Van Zandt,1849,1866,32.486863,-96.070773
FREDONIA,TX,Gregg,1849,1859,32.403762,-94.7960464
INDIANOLA,TX,Calhoun,1849,1887,28.5119449,-96.487475
JORDAN'S SALINE,TX,Van Zandt,1849,1872,32.6734636,-95.7094069
MORALES DE LAVACA,TX,Jackson,1849,1860,29.1274775,-96.7624788
NEW SALEM,TX,Rusk,1849,1955,31.9415576,-94.9596616
ROCK ISLAND,TX,Waller,1849,1857,30.1727152,-96.125237
ROUND HILL,TX,Smith,1849,1851,32.2173778,-95.1041111
SPRING HILL,TX,Navarro,1849,1906,31.9362686,-96.7102684
STRING PRAIRIE,TX,Lee,1849,1853,30.4190974,-97.0116515
VERNON,CA,Sutter,1849,1878,38.7860123,-121.6185714
BOGGY DEPOT,OK,Atoka,1849,1944,34.2987014,-96.3024934
SACRAMENTO CITY,CA,Sacramento,1849,1883,38.5621278,-121.5005109
CLINTON,TX,Dewitt,1849,1886,29.0571996,-97.3188797
HOPEWELL,TX,Upshur,1849,1854,32.7143022,-95.0724416
PLEASANT HILL,TX,Hopkins,1849,1866,33.0573386,-95.6277346
BRAZOS  SANTIAGO,TX,Cameron,1849,1881,26.0734119,-97.2085844
ASH SPRING,TX,Harrison,1849,1869,,
BELLEVILLE,TX,Gonzales,1849,1849,,
BRIDGE,TX,Kaufman,1849,1850,,
CENTRE,TX,Cass,1849,1852,,
CENTREVILLE,TX,Henderson,1849,1849,,
CLEAR LAKE,TX,Fort Bend,1849,1851,,
CYPRESS GROVE,TX,Harris,1849,1850,,
FLORA,TX,Smith,1849,1866,,
GILLELAND CREEK,TX,Travis,1849,1866,,
GRAND SALINE,OK,Mayes,1849,1866,,
GUM SPRING,TX,Smith,1849,1857,,
KINLOCK,TX,Panola,1849,1855,,
LIVE OAK,TX,Dewitt,1849,1868,,
MILLER'S,TX,Fannin,1849,1852,,
PRAIRIE PLAINS,TX,Grimes,1849,1907,,
RED ROCK,TX,Gregg,1849,1860,,
SAN COSME,TX,Rusk,1849,1877,,
SHOCKEY'S PRAIRIE,TX,Lamar,1849,1879,,
SOLITUDE,TX,Brazoria,1849,1852,,
SUGAR LAND,TX,Matagorda,1849,1853,,
SULPHUR SPRINGS,TX,Cherokee,1849,1869,,
WALNUT HILL,TX,Panola,1849,1880,,
WHITFIELD'S,TX,Waller,1849,1849,,
YOUNG'S SETTLEMENT,TX,Bastrop,1849,1872,,
ALBANY,OR,Linn,1850,,44.6363449,-123.1105419
ATHENS,TX,Henderson,1850,,32.2058888,-95.8504795
BUTTEVILLE,OR,Marion,1850,1905,45.2623415,-122.8403743
CALAPOOYA,OR,Linn,1850,1859,44.3948199,-122.9842162
CENTERVILLE,TX,Leon,1850,,31.2583659,-95.9767384
CHAMPOEG,OR,Marion,1850,1850,45.24873,-122.8981534
FAYETTEVILLE,TX,Fayette,1850,,29.9055638,-96.6735611
FORT BRIDGER,WY,Uinta,1850,,41.3162229,-110.3839804
FORT LARAMIE,WY,Goshen,1850,,42.212596,-104.5170088
HILLSBORO,OR,Washington,1850,,45.5223789,-122.9903216
JACKSONVILLE,TX,Cherokee,1850,,31.9613839,-95.2771612
LAS VEGAS,NM,San Miguel,1850,,35.592919,-105.2201478
LEXINGTON,OR,Clatsop,1850,1857,46.1623271,-123.9234778
LINN CITY,OR,Clackamas,1850,1854,45.3671859,-122.6124962
LOS ANGELES,CA,Los Angeles,1850,,33.9771527,-118.2583802
MARYSVILLE,CA,Yuba,1850,,39.1396587,-121.5871499
MARYSVILLE,OR,Benton,1850,1854,44.5616685,-123.2605835
MILWAUKIE,OR,Clackamas,1850,1929,45.4415457,-122.640313
MISSION SAN JOSE,CA,Alameda,1850,1960,37.530971,-121.9206132
MOLALLA,OR,Clackamas,1850,,45.1501243,-122.5731739
NESMITHS,OR,Polk,1850,1852,44.9273395,-123.3642707
NEVADA CITY,CA,Nevada,1850,,39.2635466,-121.0168339
NEW ALBANY,OR,Linn,1850,1853,44.6363449,-123.1105419
OLYMPIA,WA,Thurston,1850,,47.0410596,-122.8955299
O'NEALS MILLS,OR,Polk,1850,1850,44.9273395,-123.3642707
PEMBINA,ND,Pembina,1850,,48.9705194,-97.2513561
PLACERVILLE,CA,El Dorado,1850,,38.7267554,-120.8025349
PLEASANT HILL,OR,Lane,1850,1922,43.9702584,-122.936787
PLYMOUTH,OR,Columbia,1850,1850,45.8594355,-122.8132266
ROMA,TX,Starr,1850,,26.4029211,-98.9912108
SAINT HELEN,OR,Columbia,1850,1913,45.8594355,-122.8132266
SANTA BARBARA,CA,Santa Barbara,1850,,34.4216871,-119.698779
SANTA CRUZ,CA,Santa Cruz,1850,,36.9767887,-122.0262917
SANTYAM FORKS,OR,Linn,1850,1952,44.6934556,-122.8764789
SLOUGH,OR,Multnomah,1850,1852,45.6020618,-122.6634301
SYRACUSE,OR,Linn,1850,1852,44.722066,-123.0387048
TUALATIN,OR,Washington,1850,1858,45.5207046,-123.1146475
VANCOUVER,WA,Clark,1850,,45.6404791,-122.6239993
WAXAHACHIE,TX,Ellis,1850,,32.3886052,-96.844864
WEAVERVILLE,CA,Trinity,1850,,40.7334281,-122.9425913
YAM HILL FALLS,OR,Yamhill,1850,1852,45.2436251,-123.1134526
AVERY'S,OR,Benton,1850,1850,44.5616685,-123.2605835
FORKS OF MARY'S RIVER,OR,Benton,1850,1852,44.3165116,-123.3012083
SKINNER'S,OR,Lane,1850,1853,44.054013,-123.0936288
BARREN RIDGE,TX,Van Zandt,1850,1857,32.6981846,-95.8852438
BRANCHTOWN,TX,Cherokee,1850,1851,31.6504546,-95.0727175
CEDAR GROVE,TX,Kaufman,1850,1874,32.7579051,-96.0866382
COLD SPRING,TX,San Jacinto,1850,,30.592421,-95.1293818
COLLEGE MOUND,TX,Kaufman,1850,1874,32.6729091,-96.1869201
COLUMBIA CITY,WA,Clark,1850,1855,45.6387281,-122.6614861
EDINBURGH,TX,Hidalgo,1850,1876,26.1003547,-98.2630684
ELKHEART,TX,Anderson,1850,1854,31.6251747,-95.5793977
FREMONT,CA,Yolo,1850,1864,38.6765706,-121.6349597
GAY HILL,TX,Washington,1850,1975,30.271879,-96.494135
KIOMATIA,TX,Red River,1850,1954,33.889274,-95.2230079
