id,cite,linkToId,author,publisher,pubDate
cite_ref-13,"Steven Hahn, <i>A Nation Without Borders: The United States and Its World in an Age of Civil Wars</i>, 1830-1910 (New York: Viking, 2016), 226-227.",cite_note-13,,,
cite_ref-14,"For Comanche history during this period, see Pekka Hamalainen, <i>The Comanche Empire</i> (Yale University Press, 2008), 292-320.",cite_note-14,,,
cite_ref-15,"Trail data comes from: National Park Service (National Trails Intermountain Region), ""Oregon National Historic Trail"" (April 11, 2019), https://irma.nps.gov/DataStore/Reference/Profile/2238911; National Park Service (National Trails Intermountain Region), ""California National Historic Trail"" (March 1, 2017), https://irma.nps.gov/DataStore/Reference/Profile/2238903; National Park Service (National Trails Intermountain Region), ""Mormon Pioneer National Historic Trail"" (March 1, 2017), https://irma.nps.gov/DataStore/Reference/Profile/2238910; National Park Service (National Trails Intermountain Region), ""Santa Fe National Historic Trail"" (April 11, 2019), https://irma.nps.gov/DataStore/Reference/Profile/2238913; National Park Service (National Trails Intermountain Region), ""Butterfield Overland Trail Special Resource Study"" (April 22, 2019), https://irma.nps.gov/DataStore/Reference/Profile/2260082. ",cite_note-15,,,
cite_ref-16,"Susan Schulten, “The Civil War and the Origins of the Colorado Territory,” <i>Western Historical Quarterly</i> 44, no. 1 (2013): 23–26; Elliott West, <i>The Contested Plains: Indians, Goldseekers, & the Rush to Colorado</i> (University Press of Kansas, 2000), 122.",cite_note-16,,,
cite_ref-17,"Anne F. Hyde, <i>Empires, Nations, and Families: A History of the North American West, 1800-1860</i> (Lincoln, NE: University of Nebraska Press, 2011), 423-427.",cite_note-17,,,
cite_ref-18,"For the importance of the American West during the Civil War, see Virginia Scharff, ed., <i>Empire and Liberty: The Civil War and the West</i> (Oakland, California: University of California Press, 2015); Adam Arenson and Andrew R. Graybill, eds., <i>Civil War Wests: Testing the Limits of the United States</i> (Oakland, California: University of California Press, 2015); Stacey L. Smith, “Beyond North and South: Putting the West in the Civil War and Reconstruction,” <i>The Journal of the Civil War Era</i> 6, no. 4 (November 3, 2016): 566–91, https://doi.org/10.1353/cwe.2016.0073.",cite_note-18,,,
cite_ref-19,"Elliott West, <i>The Last Indian War: The Nez Perce Story</i> (Oxford University Press, 2009), 78.",cite_note-19,,,
cite_ref-20,"Elliott West, <i>The Contested Plains: Indians, Goldseekers, & the Rush to Colorado</i> (University Press of Kansas, 2000), 254-258, 281-287.",cite_note-20,,,
cite_ref-21,"Rodman Paul, <i>Mining Frontiers of the Far West, 1848-1880</i>, Second Edition (University of New Mexico Press, 2001), 57, 138-142; Washoe Tribal Historic Preservation Office, “WA SHE SHU: ‘The Washoe People’ Past and Present,” 2009, The Washoe Tribe of Nevada and California, accessed October 17, 2019, https://www.washoetribe.us/images/Site_Media/WaSheShu_Booklet/Booklet_Final_2_2019.pdf; John D. O’Connell, “Constructive Conquest in the Courts: A Legal History of the Western Shoshone Lands Struggle—1861 to 1991,” Natural Resources Journal 42, no. 4 (2002): 765–99; Elliott West, <i>The Last Indian War: The Nez Perce Story</i> (Oxford University Press, 2009), 92-94.",cite_note-21,,,
cite_ref-22,"Heather Cox Richardson, <i>To Make Men Free: A History of the Republican Party</i>, (New York: Basic Books, 2014), 25–54; Richard White, <i>“It’s Your Misfortune and None of My Own”: A New History of the American West</i> (University of Oklahoma Press, 1991), 141–48; Steven Hahn, <i>A Nation Without Borders: The United States and Its World in an Age of Civil Wars, 1830-1910</i> (New York: Viking, 2016), 6, 284–85, 359, 391–400.",cite_note-22,,,
cite_ref-23,"Heather Cox Richardson, <i>West from Appomattox: The Reconstruction of America after the Civil War</i> (Yale University Press, 2007), 73, 155–58; Richard White, <i>Railroaded: The Transcontinentals and the Making of Modern America</i> (W. W. Norton & Company, 2011), 1-38.",cite_note-23,,,
cite_ref-24,"Fore the relationship between the transcontinental railroad and the Lakota, Cheyenne, and Pawnee during these years, see Manu Karuka, <i>Empire’s Tracks: Indigenous Nations, Chinese Workers, and the Transcontinental Railroad</i> (Oakland, California: University of California Press, 2019), 69-79, 117-125, 128-148.",cite_note-24,,,
cite_ref-25,"All railroad data in this website comes from: Jeremy Atack, “Historical Geographic Information Systems (GIS) database of U.S. Railroads (May 2016), https://my.vanderbilt.edu/jeremyatack/data-downloads/. For documentation on this data, see Jeremy Atack, ""Creating Historical Transportation Shapefiles of Navigable Rivers, Canals and Railroads for the United States Before World War I,"" (December 26, 2015), https://cdn.vanderbilt.edu/vu-my/wp-content/uploads/sites/133/2019/04/14090345/Creating-Historical-Transportation-Shapefiles-of-Navigable-Rivers-Revised-December-2015.pdf",cite_note-25,,,
cite_ref-26,"Donald W. Meinig, <i>The Shaping of America: A Geographical Perspective on 500 Years of History, Volume 3: Transcontinental America, 1850-1915</i> (Yale University Press, 1998), 120-126.",cite_note-26,,,
cite_ref-27,"Rodman Paul, <i>Mining Frontiers of the Far West, 1848-1880</i>, Second Edition (University of New Mexico Press, 2001), 97-108, 142-145.",cite_note-27,,,
cite_ref-28,"Manu Karuka, <i>Empire’s Tracks: Indigenous Nations, Chinese Workers, and the Transcontinental Railroad</i> (Oakland, California: University of California Press, 2019), 69-79; Pekka Hämäläinen, “Reconstructing the Great Plains: The Long Struggle for Sovereignty and Dominance in the Heart of the Continent,” <i>The Journal of the Civil War Era</i> 6, no. 4 (November 3, 2016): 496–502.",cite_note-28,,,
cite_ref-29,"Geographers have similarly discussed the importance of different networks to British imperialism in: Alan Lester, “Imperial Circuits and Networks: Geographies of the British Empire,” <i>History Compass</i> 4, no. 1 (January 1, 2006): 124–41, https://doi.org/10.1111/j.1478-0542.2005.00189.x; Cole Harris, “How Did Colonialism Dispossess? Comments from an Edge of Empire,” <i>Annals of the Association of American Geographers</i> 94, no. 1 (March 1, 2004): 165–82, https://doi.org/10.1111/j.1467-8306.2004.09401009.x.",cite_note-29,,,
cite_ref-30,"Craig Howe, Lydia Whirlwind Soldier, and Lanniko L. Lee, eds., He Sapa Woihanble: Black Hills Dream (St. Paul, Minnesota: Living Justice Press, 2011).",cite_note-30,,,
cite_ref-31,"Pekka Hamalainen, <i>Lakota America: A New History of Indigenous Power</i> (New Haven, CT: Yale University Press, 2019), 337-379.",cite_note-31,,,
cite_ref-32,"“History of the Southern Ute Indian Tribe,” <i>Southern Ute Indian Tribe</i>, accessed September 10, 2019, https://www.southernute-nsn.gov/history/; Jonathon C. Horn, “Brunot Agreement,” in <i>Colorado Encyclopedia</i>, May 18, 2016, https://coloradoencyclopedia.org/article/brunot-agreement.",cite_note-32,,,
cite_ref-33,"“Tribal History,” <i>Official Home of the Pit River Tribe</i>, http://pitrivertribe.org/tribal-history/. Accessed September 15, 2019. Benjamin Madley, <i>An American Genocide: The United States and the California Indian Catastrophe, 1846-1873</i> (New Haven, CT: Yale University Press, 2016), 243–76.",cite_note-33,,,
cite_ref-34,"Barbara Krauthamer, <i>Black Slaves, Indian Masters: Slavery, Emancipation, and Citizenship in the Native American South</i> (The University of North Carolina Press, 2013), 119–150.",cite_note-34,,,
cite_ref-35,"Historians who have emphasized the instability of the western economy include Patricia Nelson Limerick, <i>The Legacy of Conquest: The Unbroken Past of the American West</i> (W.W. Norton & Co., 1987), 147, 248; Richard White, <i>“It’s Your Misfortune and None of My Own”: A New History of the American West</i> (University of Oklahoma Press, 1991), 285; Historian James Belich argues that the “settler revolution” of the Anglo world was fueled by a similarly cyclical pattern of boom, bust, and “export rescue” from a settler colony’s metropole. James Belich, <i>Replenishing the Earth: The Settler Revolution and the Rise of the Anglo-World, 1783-1939</i> (Oxford University Press, 2009), 5–8, 83–95, 182–209.",cite_note-35,,,
cite_ref-36,"Kristin Hoganson, “Meat in the Middle: Converging Borderlands in the U.S. Midwest, 1865–1900,” <i>Journal of American History</i> 98, no. 4 (March 1, 2012): 1041–46, https://doi.org/10.1093/jahist/jar600; Richard White, <i>“It’s Your Misfortune and None of My Own”: A New History of the American West</i> (University of Oklahoma Press, 1991), 222–23.",cite_note-36,,,
cite_ref-37,"Jon K. Lauck, <i>Prairie Republic: The Political Culture of Dakota Territory, 1879–1889</i> (Norman: University of Oklahoma Press, 2010), 4–11.",cite_note-37,,,
cite_ref-38,"Brandi Denison, “Dirt and Morality during Ute Removal,” <i>Pacific Historical Review</i> 88, no. 1 (February 1, 2019): 144–154, https://doi.org/10.1525/phr.2019.88.1.127; Steven Baker, “White River Ute Indian Agency,” in Colorado Encyclopedia, April 29, 2016, https://coloradoencyclopedia.org/article/white-river-ute-indian-agency.",cite_note-38,,,
cite_ref-39,"Richard White, <i>Railroaded: The Transcontinentals and the Making of Modern America</i> (W. W. Norton & Company, 2011), 140–78.",cite_note-39,,,
cite_ref-40,"Theresa A. Case, The Great Southwest Railroad Strike and Free Labor (College Station: Texas A&M University Press, 2010), 17-44; Donald W. Meinig, <i>The Shaping of America: A Geographical Perspective on 500 Years of History, Volume 3: Transcontinental America, 1850-1915</i> (Yale University Press, 1998), 133-145, 152-153.",cite_note-40,,,
cite_ref-41,"Richard Edwards, Jacob K. Friefeld, and Rebecca S. Wingo, <i>Homesteading the Plains: Toward a New History</i> (Lincoln, NE: University of Nebraska Press, 2017), 111-118; Richard White, <i>Railroaded: The Transcontinentals and the Making of Modern America</i> (W. W. Norton & Company, 2011), 391-393.",cite_note-41,,,
cite_ref-42,"Glenn S. Dumke, “The Real Estate Boom of 1887 in Southern California,” <i>The Pacific Historical Review</i> 11, no. 4 (December 1942): 425–38.",cite_note-42,,,
cite_ref-43,"Richard White, <i>Railroaded: The Transcontinentals and the Making of Modern America</i> (W. W. Norton & Company, 2011), 460-495.",cite_note-43,,,
cite_ref-44,"For the broader context of federal Indian policy during these years, see C. Joseph Genetin-Pilawa, <i>Crooked Paths to Allotment: The Fight over Federal Indian Policy after the Civil War</i> (Chapel Hill: The University of North Carolina Press, 2014), 134-155.",cite_note-44,,,
cite_ref-45,"For political and economic integration during this period, see Noam Maggor, <i>Brahmin Capitalism: Frontiers of Wealth and Populism in America’s First Gilded Age</i> (Cambridge, Massachusetts: Harvard University Press, 2017), 158-203.",cite_note-45,,,
cite_ref-46,"Heather Cox Richardson, <i>To Make Men Free: A History of the Republican Party</i> (New York: Basic Books, 2014), 124–27.",cite_note-46,,,
cite_ref-47,"Donald W. Meinig, <i>The Shaping of America: A Geographical Perspective on 500 Years of History, Volume 3: Transcontinental America, 1850-1915</i> (Yale University Press, 1998), 69-89.",cite_note-47,,,
cite_ref-48,"Jeffrey Ostler, <i>The Plains Sioux and U.S. Colonialism from Lewis and Clark to Wounded Knee</i> (Cambridge University Press, 2004), 217-241.",cite_note-48,,,
cite_ref-49,"Chadwick Smith and Faye Teague, “The Response of the Cherokee Nation to the Cherokee Outlet Centennial Celebration: A Legal and Historical Analysis Symposium on Indian Law,” <i>Tulsa Law Journal</i>, no. 2 (1994 1993): 263–302.",cite_note-49,,,
cite_ref-50,"Elizabeth Sanders, <i>Roots of Reform: Farmers, Workers, and the American State, 1877-1917</i> (Chicago: University of Chicago Press, 1999), 101-147; Charles Postel, The Populist Vision (New York: Oxford University Press, 2009), 103–35.",cite_note-50,,,
